curso,total_inscritos,ano
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,33841,2022
CIÊNCIA DA COMPUTAÇÃO,69641,2022
ENGENHARIA DE COMPUTAÇÃO,21066,2022
ENGENHARIA DE SOFTWARE,8492,2022
SISTEMAS DE INFORMAÇÃO,36412,2022
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,32828,2021
CIÊNCIA DA COMPUTAÇÃO,60503,2021
ENGENHARIA DE COMPUTAÇÃO,19761,2021
ENGENHARIA DE SOFTWARE,4399,2021
SISTEMAS DE INFORMAÇÃO,36615,2021
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,62802,2020
CIÊNCIA DA COMPUTAÇÃO,71661,2020
ENGENHARIA DE COMPUTAÇÃO,25089,2020
ENGENHARIA DE SOFTWARE,6719,2020
SISTEMAS DE INFORMAÇÃO,47675,2020
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,61170,2019
CIÊNCIA DA COMPUTAÇÃO,74460,2019
ENGENHARIA DE COMPUTAÇÃO,28839,2019
ENGENHARIA DE SOFTWARE,7778,2019
SISTEMAS DE INFORMAÇÃO,55321,2019
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,75307,2018
CIÊNCIA DA COMPUTAÇÃO,80714,2018
ENGENHARIA DE COMPUTAÇÃO,28193,2018
ENGENHARIA DE SOFTWARE,5667,2018
SISTEMAS DE INFORMAÇÃO,65805,2018
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,115932,2017
CIÊNCIA DA COMPUTAÇÃO,103148,2017
ENGENHARIA DE COMPUTAÇÃO,37243,2017
ENGENHARIA DE SOFTWARE,7299,2017
SISTEMAS DE INFORMAÇÃO,87413,2017
